feature,mean,median,mode,stddev
LP.LPI.OVRL.XQ,2.8679134745426222,2.7394688333333352,0,0.5229044016812631
IC.TAX.TOTL.CP.ZS,40.88492844280012,39.2722222222222,0,19.144623290221677
IC.BUS.EASE.XQ,96.73048769603241,102.59090909090901,0,52.10156786626948
IC.BUS.DISC.XQ,5.4709018682154325,5.48710089399745,0,2.288636217545649
ST.INT.ARVL,46797081.27222005,2727000.0,0,137587416.49563962
IC.GOV.DURS.ZS,8.830681419281216,8.95625,0,4.266065780478354
IC.REG.COST.PC.ZS,26.719686937094806,13.975,0,39.906225289355596
FP.CPI.TOTL.ZG,3.764239951778831,1.83599369733479,0,9.90482860627758
SL.SRV.EMPL.ZS,65.8525342408717,69.04999923706055,0,12.524268139354643
EG.ELC.ACCS.UR.ZS,,,0,
IC.EXP.COST.CD,1564.3818785918418,1270.80952380952,0,1127.317837176272
IT.NET.USER.P2,47.55657102325724,46.885639620349494,0,27.691717353487633
EN.ATM.CO2E.EG.ZS,,,0,
NY.GNP.PCAP.CD,12674.809958040289,5585.0,0,17696.324544559808
SL.EMP.1524.SP.FE.NE.ZS,30.556024361299265,27.899999618530302,0,15.181189943972988
EG.ELC.RNEW.ZS,,,0,
FB.ATM.TOTL.P5,48.4299385095244,41.7007222565095,0,43.035151730529996
BG.GSR.NFSV.GD.ZS,24.167895322696715,16.758742817779602,0,27.62726899966063
IC.ELC.TIME,97.73877191426217,87.0,0,65.37607352087767
IT.CEL.SETS.P2,106.32063717642207,107.895185390203,0,39.22009116770882
SI.POV.GINI,40.12033333333332,41.72,0,9.002208726419477
IC.TAX.METG,1.467218333285047,1.435,0,0.57949433783177
SL.EMP.WORK.ZS,81.24434067246052,84.17780102982175,0,9.151258516065099
IC.ELC.DURS,33.51994807763631,30.7444444444445,0,26.97875303502841
IC.FRM.ISOC.ZS,15.553090701428435,14.6954545454545,0,7.396161332868428
TX.VAL.TECH.CD,74033586996.20625,212098289.0,0,255545639886.33618
SP.POP.1564.TO.ZS,63.74939757930229,65.36424703928529,0,6.471698872202605
SL.TLF.ACTI.1524.NE.ZS,42.55291548264687,41.132310794226,0,12.568374189242444
EG.ELC.ACCS.ZS,,,0,
FI.RES.TOTL.DT.ZS,92.1079153725347,47.7742813230192,0,282.9775675104485
IC.ISV.DURS,2.597504538882281,2.5818181818181802,0,1.055514190610786
DT.ODA.ODAT.PC.ZS,127.86166889442306,46.4886050640975,0,345.1079194811176
IC.TAX.OTHR.CP.ZS,8.843270243291824,3.0,0,18.03672703568878
TX.VAL.OTHR.ZS.WT,32.26764930144709,31.1393247114975,0,19.42530230645258
SH.STA.ACSN.UR,78.98257061407493,87.97772927983675,0,23.253563488329647
WP15163_4.1,6.006044601190477,2.50452,0,9.625545568653656
EN.URB.LCTY.UR.ZS,29.887148049666937,26.849481378042604,0,16.826969850177036
SL.IND.EMPL.ZS,23.381357181564177,23.19999980926515,0,6.6358620239999455
VC.PKP.TOTL.UN,4955.64705882353,793.0,0,6086.79230938982
AG.LND.TOTL.RU.K2,,,0,
SL.EMP.SELF.ZS,18.551817066504785,15.671703149966199,0,8.859645544795292
EN.CLC.MDAT.ZS,,,0,
SL.EMP.TOTL.SP.FE.NE.ZS,45.30957734262279,47.5,0,12.200954919598708
IC.REG.DURS,20.53535208331546,14.75,0,20.47994814068366
IC.ELC.OUTG,7.778587703676077,5.65,0,8.08153447871859
IC.IMP.DURS,24.821645825770695,21.0,0,17.985606291551342
CM.MKT.TRAD.CD,7904175820095.238,103654060000.0,0,18186895414425.016
NE.CON.PRVT.PC.KD.ZG,1.38105560254033,1.61255533898956,0,4.423506497536674
SL.GDP.PCAP.EM.KD,40108.661342499836,28050.1391870539,0,39374.73112374742
SP.URB.TOTL.IN.ZS,58.62962613742218,58.37484091301205,0,23.133141820468502
IC.FRM.BRIB.ZS,21.877804026670226,23.9,0,11.243420616836788
SI.POV.2DAY,17.904516129032256,11.29,0,20.320233403959655
IC.WRH.DURS,161.15481894030427,154.0,0,81.45087783556832
IQ.WEF.CUST.XQ,3.9834655287080927,3.8132837326689204,0,0.8156708366779984
SL.TLF.PART.ZS,15.195929574830261,15.649999618530298,0,8.197452176497457
IC.TAX.LABR.CP.ZS,15.72635499095106,14.0586956521739,0,9.984997990173646
CM.MKT.TRAD.GD.ZS,61.47024678075223,19.074710410136,0,100.66084105729844
EN.ATM.PM25.MC.ZS,,,0,
IC.FRM.DURS,22.772394066351062,19.0904761904762,0,11.393918162321409
SP.POP.TOTL,297061031.92748094,10096667.0,0,937664761.4188256
IC.CUS.DURS.EX,8.011560026992894,7.594225146198834,0,3.663064197522208
ST.INT.RCPT.XP.ZS,14.26135811145614,6.99619873865344,0,17.487468764589707
SL.EMP.MPYR.ZS,3.9488940237055985,4.0,0,1.2926011899036072
IQ.WEF.PORT.XQ,3.9580793939829766,3.904943664440255,0,1.123580397629083
WP_time_01.1,53.30584297402598,51.261505,0,31.25552193328387
IC.REG.PROC,6.9387892421881965,7.0,0,2.928892799773278
IC.TAX.GIFT.ZS,15.29793559225805,17.01,0,8.6782929896908
EN.POP.SLUM.UR.ZS,44.04918059932562,43.0,0,22.346414234420568
IC.IMP.COST.CD,1883.703373555975,1480.0,0,1511.3632209452899
NE.CON.PETC.ZS,63.60244144709925,62.937450052062594,0,16.176317209203226
SL.EMP.TOTL.SP.MA.NE.ZS,63.61581002490035,63.845689007386596,0,8.498744847986544
DT.DOD.PVLX.GN.ZS,20.903157365466264,17.439207065711802,0,13.526175046355068
IC.LGL.CRED.XQ,5.110327117957513,5.0,0,2.7413838178920362
BX.KLT.DINV.WD.GD.ZS,4.6603742052981545,2.55665357777631,0,8.348388002616282
SP.URB.GROW,1.947836523480695,1.8426886332669299,0,1.5760327383549504
IC.BUS.NDNS.ZS,3.674967771110666,2.2907692307692296,0,4.270679373712502
SL.ISV.IFRM.ZS,,,0,
SH.H2O.SAFE.ZS,89.07628660379899,94.75,0,13.862774939396694
SE.ADT.LITR.ZS,84.16092601703231,93.97164916992192,0,18.7612992459953
NE.CON.PRVT.KD.ZG,2.7943884935487016,3.0382692410328005,0,4.61876525748456
AG.LND.TOTL.UR.K2,,,0,
SL.UEM.NEET.ZS,13.479532166845088,12.279999732971199,0,6.13654268869107
Ease.Of.Doing.Business,0.0,0.0,VeryLow:70,0.0
