dataset,entry,field,value,3rdStdDev
"WB","Early-demographic dividend","SP.POP.TOTL","3122703317.000000","2812994284.256476"
"WB","Middle income","SP.POP.TOTL","5521156908.000000","2812994284.256476"
"WB","IBRD only","SP.POP.TOTL","4542580688.000000","2812994284.256476"
"WB","Low & middle income","SP.POP.TOTL","6159443196.000000","2812994284.256476"
"WB","IDA & IBRD total","SP.POP.TOTL","6183634830.000000","2812994284.256476"
"WB","World","SP.POP.TOTL","7346633037.000000","2812994284.256476"
"WB","Bhutan","IC.GOV.DURS.ZS","28.800000","12.798197"
"WB","Equatorial Guinea","IC.REG.PROC","18.000000","8.786678"
"WB","Venezuela, RB","IC.REG.PROC","17.000000","8.786678"
"WB","Philippines","IC.REG.PROC","16.000000","8.786678"
"WB","New Zealand","IC.BUS.NDNS.ZS","16.630000","12.812038"
"WB","Malta","IC.BUS.NDNS.ZS","17.260000","12.812038"
"WB","Hong Kong SAR, China","IC.BUS.NDNS.ZS","31.300000","12.812038"
"WB","Hong Kong SAR, China","EN.URB.LCTY.UR.ZS","100.000000","50.480910"
"WB","Macao SAR, China","EN.URB.LCTY.UR.ZS","99.457800","50.480910"
"WB","Singapore","EN.URB.LCTY.UR.ZS","100.000000","50.480910"
"WB","Ethiopia","IC.ELC.DURS","194.300000","80.936259"
"WB","Luxembourg","NY.GNP.PCAP.CD","77000.000000","53088.973634"
"WB","Switzerland","NY.GNP.PCAP.CD","84180.000000","53088.973634"
"WB","Qatar","NY.GNP.PCAP.CD","85430.000000","53088.973634"
"WB","Norway","NY.GNP.PCAP.CD","93820.000000","53088.973634"
"WB","Macao SAR, China","NY.GNP.PCAP.CD","76300.000000","53088.973634"
"WB","Barbados","IC.WRH.DURS","442.000000","244.352634"
"WB","Cyprus","IC.WRH.DURS","617.000000","244.352634"
"WB","Cambodia","IC.WRH.DURS","652.000000","244.352634"
"WB","Brazil","IC.WRH.DURS","425.700000","244.352634"
"WB","Zimbabwe","IC.WRH.DURS","448.000000","244.352634"
"WB","Argentina","IC.TAX.TOTL.CP.ZS","137.400000","57.433870"
"WB","Comoros","IC.TAX.TOTL.CP.ZS","216.500000","57.433870"
"WB","Bangladesh","IC.ELC.TIME","428.900000","196.128221"
"WB","Liberia","IC.ELC.TIME","465.000000","196.128221"
"WB","South Sudan","IC.ELC.TIME","427.000000","196.128221"
"WB","Guinea-Bissau","IC.ELC.TIME","455.000000","196.128221"
"WB","Madagascar","IC.ELC.TIME","450.000000","196.128221"
"WB","Argentina","IC.TAX.OTHR.CP.ZS","108.100000","54.110181"
"WB","Eritrea","IC.TAX.OTHR.CP.ZS","74.500000","54.110181"
"WB","Comoros","IC.TAX.OTHR.CP.ZS","184.400000","54.110181"
"WB","Bolivia","IC.TAX.OTHR.CP.ZS","64.900000","54.110181"
"WB","Cambodia","IC.ISV.DURS","6.000000","3.166543"
"WB","Sao Tome and Principe","IC.ISV.DURS","6.200000","3.166543"
"WB","Portugal","FB.ATM.TOTL.P5","177.690638","129.105455"
"WB","North America","FB.ATM.TOTL.P5","222.274269","129.105455"
"WB","San Marino","FB.ATM.TOTL.P5","213.672663","129.105455"
"WB","Russian Federation","FB.ATM.TOTL.P5","184.697697","129.105455"
"WB","Canada","FB.ATM.TOTL.P5","222.274269","129.105455"
"WB","Macao SAR, China","FB.ATM.TOTL.P5","224.983483","129.105455"
"WB","Luxembourg","BG.GSR.NFSV.GD.ZS","286.377542","82.881807"
"WB","Maldives","BG.GSR.NFSV.GD.ZS","118.702733","82.881807"
"WB","Ireland","BG.GSR.NFSV.GD.ZS","126.938953","82.881807"
"WB","Macao SAR, China","BG.GSR.NFSV.GD.ZS","114.863038","82.881807"
"WB","Mauritania","IC.CUS.DURS.EX","26.000000","10.989193"
"WB","Burundi","IC.CUS.DURS.EX","20.600000","10.989193"
"WB","Equatorial Guinea","NE.CON.PRVT.PC.KD.ZG","-24.658998","13.270519"
"WB","Bhutan","NE.CON.PRVT.PC.KD.ZG","15.765344","13.270519"
"WB","Antigua and Barbuda","NE.CON.PRVT.PC.KD.ZG","-13.564479","13.270519"
"WB","Cote d'Ivoire","NE.CON.PRVT.PC.KD.ZG","17.213746","13.270519"
"WB","High income","ST.INT.ARVL","713644842.823344","412762249.486919"
"WB","OECD members","ST.INT.ARVL","644146879.299469","412762249.486919"
"WB","Europe & Central Asia","ST.INT.ARVL","588069789.506157","412762249.486919"
"WB","IDA & IBRD total","ST.INT.ARVL","472135508.161211","412762249.486919"
"WB","World","ST.INT.ARVL","1160911965.789460","412762249.486919"
"WB","Post-demographic dividend","ST.INT.ARVL","624744367.519835","412762249.486919"
"WB","World","CM.MKT.TRAD.CD","99759985450000.000000","54560686243275.031250"
"WB","Liberia","NE.CON.PETC.ZS","128.757915","48.528952"
"WB","Netherlands","SL.TLF.PART.ZS","50.500000","24.592357"
"WB","Somalia","WP15163_4.1","37.065910","28.876637"
"WB","Kenya","WP15163_4.1","58.392630","28.876637"
"WB","Uganda","WP15163_4.1","35.100380","28.876637"
"WB","Nauru","DT.ODA.ODAT.PC.ZS","2160.966981","1035.323758"
"WB","Tuvalu","DT.ODA.ODAT.PC.ZS","3476.195290","1035.323758"
"WB","Sweden","IC.FRM.ISOC.ZS","39.100000","22.188484"
"WB","Papua New Guinea","SH.H2O.SAFE.ZS","40.000000","41.588325"
"WB","Luxembourg","SL.GDP.PCAP.EM.KD","201747.796875","118124.193371"
"WB","Kuwait","SL.GDP.PCAP.EM.KD","158302.296875","118124.193371"
"WB","Syrian Arab Republic","SL.GDP.PCAP.EM.KD","192559.093750","118124.193371"
"WB","Qatar","SL.GDP.PCAP.EM.KD","173966.796875","118124.193371"
"WB","Macao SAR, China","SL.GDP.PCAP.EM.KD","231316.906250","118124.193371"
"WB","Equatorial Guinea","IC.REG.DURS","135.000000","61.439844"
"WB","Suriname","IC.REG.DURS","84.000000","61.439844"
"WB","Eritrea","IC.REG.DURS","84.000000","61.439844"
"WB","Cambodia","IC.REG.DURS","87.000000","61.439844"
"WB","Brazil","IC.REG.DURS","83.000000","61.439844"
"WB","Venezuela, RB","IC.REG.DURS","144.000000","61.439844"
"WB","Haiti","IC.REG.DURS","97.000000","61.439844"
"WB","Zimbabwe","IC.REG.DURS","90.000000","61.439844"
"WB","Andorra","SP.URB.GROW","-3.836562","4.728098"
"WB","Iraq","IC.IMP.DURS","82.000000","53.956819"
"WB","South Sudan","IC.IMP.DURS","130.000000","53.956819"
"WB","Venezuela, RB","IC.IMP.DURS","82.000000","53.956819"
"WB","Afghanistan","IC.IMP.DURS","91.000000","53.956819"
"WB","Uzbekistan","IC.IMP.DURS","104.000000","53.956819"
"WB","Chad","IC.IMP.DURS","90.000000","53.956819"
"WB","Luxembourg","BX.KLT.DINV.WD.GD.ZS","42.557944","25.045164"
"WB","Liberia","BX.KLT.DINV.WD.GD.ZS","35.120952","25.045164"
"WB","Ireland","BX.KLT.DINV.WD.GD.ZS","85.481480","25.045164"
"WB","Hong Kong SAR, China","BX.KLT.DINV.WD.GD.ZS","58.350262","25.045164"
"WB","High income","TX.VAL.TECH.CD","1324993371551.000000","766636919659.008301"
"WB","OECD members","TX.VAL.TECH.CD","925394626445.000000","766636919659.008301"
"WB","World","TX.VAL.TECH.CD","2147395803513.000000","766636919659.008301"
"WB","United Arab Emirates","SP.POP.1564.TO.ZS","84.924652","19.415097"
"WB","Qatar","SP.POP.1564.TO.ZS","83.295360","19.415097"
"WB","Niger","SE.ADT.LITR.ZS","19.102600","56.283898"
"WB","Algeria","FI.RES.TOTL.DT.ZS","3417.400276","848.932703"
"WB","Hong Kong SAR, China","CM.MKT.TRAD.GD.ZS","667.466412","301.982523"
"WB","Tanzania","SL.SRV.EMPL.ZS","26.600000","37.572804"
"WB","Equatorial Guinea","NE.CON.PRVT.KD.ZG","-22.440212","13.856296"
"WB","Bhutan","NE.CON.PRVT.KD.ZG","17.356311","13.856296"
"WB","Antigua and Barbuda","NE.CON.PRVT.KD.ZG","-12.691566","13.856296"
"WB","Cote d'Ivoire","NE.CON.PRVT.KD.ZG","20.093946","13.856296"
"WB","Ukraine","FP.CPI.TOTL.ZG","48.724280","29.714486"
"WB","South Sudan","FP.CPI.TOTL.ZG","50.150598","29.714486"
"WB","Venezuela, RB","FP.CPI.TOTL.ZG","121.738085","29.714486"
"WB","Aruba","ST.INT.RCPT.XP.ZS","70.979759","52.462406"
"WB","Maldives","ST.INT.RCPT.XP.ZS","79.762733","52.462406"
"WB","Sint Maarten (Dutch part)","ST.INT.RCPT.XP.ZS","74.497888","52.462406"
"WB","Palau","ST.INT.RCPT.XP.ZS","82.738081","52.462406"
"WB","Bahamas, The","ST.INT.RCPT.XP.ZS","69.570533","52.462406"
"WB","Vanuatu","ST.INT.RCPT.XP.ZS","71.519092","52.462406"
"WB","Macao SAR, China","ST.INT.RCPT.XP.ZS","93.675037","52.462406"
"WB","South Sudan","IC.REG.COST.PC.ZS","330.100000","119.718676"
"WB","Central African Republic","IC.REG.COST.PC.ZS","204.000000","119.718676"
"WB","Haiti","IC.REG.COST.PC.ZS","235.300000","119.718676"
"WB","Chad","IC.REG.COST.PC.ZS","150.400000","119.718676"
"WB","Djibouti","IC.REG.COST.PC.ZS","168.100000","119.718676"
"WB","Mauritania","IC.FRM.DURS","64.600000","34.181754"
"WB","Kuwait","IT.CEL.SETS.P2","231.763195","117.660274"
"WB","Hong Kong SAR, China","IT.CEL.SETS.P2","228.831566","117.660274"
"WB","Macao SAR, China","IT.CEL.SETS.P2","324.440813","117.660274"
"WB","Zambia","IC.IMP.COST.CD","7060.000000","4534.089663"
"WB","South Sudan","IC.IMP.COST.CD","9285.000000","4534.089663"
"WB","Congo, Rep.","IC.IMP.COST.CD","7590.000000","4534.089663"
"WB","Tajikistan","IC.IMP.COST.CD","10650.000000","4534.089663"
"WB","Uzbekistan","IC.IMP.COST.CD","6452.000000","4534.089663"
"WB","Chad","IC.IMP.COST.CD","9025.000000","4534.089663"
"WB","Zambia","IC.EXP.COST.CD","5165.000000","3381.953512"
"WB","South Sudan","IC.EXP.COST.CD","5335.000000","3381.953512"
"WB","Tajikistan","IC.EXP.COST.CD","9050.000000","3381.953512"
"WB","Afghanistan","IC.EXP.COST.CD","5045.000000","3381.953512"
