date,count,change,change_in_percentage
2014-08-03 04:00:00,1.0,,
2014-09-01 00:00:00,1.0,0.0,0.0
2014-10-01 00:00:00,2.0,1.0,50.0
2014-11-01 00:00:00,2.0,0.0,0.0
2014-12-01 00:00:00,3.0,1.0,33.33333333333333
2015-01-01 00:00:00,5.0,2.0,40.0
2015-02-01 00:00:00,6.0,1.0,16.666666666666664
2015-03-01 00:00:00,6.0,0.0,0.0
2015-04-01 00:00:00,7.0,1.0,14.285714285714285
2015-05-01 00:00:00,7.0,0.0,0.0
2015-06-01 00:00:00,9.0,2.0,22.22222222222222
2015-07-01 00:00:00,9.0,0.0,0.0
2015-08-01 00:00:00,9.0,0.0,0.0
2015-09-01 00:00:00,9.0,0.0,0.0
2015-10-01 00:00:00,10.0,1.0,10.0
2015-11-01 00:00:00,10.0,0.0,0.0
2015-12-01 00:00:00,10.0,0.0,0.0
2016-01-01 00:00:00,10.0,0.0,0.0
2016-02-01 00:00:00,10.0,0.0,0.0
2016-03-01 00:00:00,10.0,0.0,0.0
2016-04-01 00:00:00,10.0,0.0,0.0
2016-05-01 00:00:00,10.0,0.0,0.0
2016-06-01 00:00:00,10.0,0.0,0.0
2016-07-01 00:00:00,10.0,0.0,0.0
2016-08-01 00:00:00,10.0,0.0,0.0
2016-09-01 00:00:00,10.0,0.0,0.0
2016-10-01 00:00:00,11.0,1.0,9.090909090909092
