date,count,change,change_in_percentage
2015-09-20 04:00:00,1.0,,
2015-10-01 00:00:00,1.0,0.0,0.0
2015-11-01 00:00:00,20.0,19.0,95.0
2015-12-01 00:00:00,21.0,1.0,4.761904761904762
2016-01-01 00:00:00,21.0,0.0,0.0
2016-02-01 00:00:00,21.0,0.0,0.0
2016-03-01 00:00:00,21.0,0.0,0.0
2016-04-01 00:00:00,21.0,0.0,0.0
2016-05-01 00:00:00,21.0,0.0,0.0
2016-06-01 00:00:00,21.0,0.0,0.0
2016-07-01 00:00:00,21.0,0.0,0.0
2016-08-01 00:00:00,21.0,0.0,0.0
2016-09-01 00:00:00,21.0,0.0,0.0
2016-10-01 00:00:00,22.0,1.0,4.545454545454546
2016-11-01 00:00:00,24.0,2.0,8.333333333333332
