country,overall_change,overall_change_in_percentage,total
US,2644.0,21.71707316252583,13486.0
CN,1421.0,79.74424645761513,2561.0
CA,276.0,20.933523927313505,1452.0
JP,262.0,24.175921449546262,1214.0
KR,424.0,58.070706976464955,955.0
GB,351.0,49.22994387876399,894.0
MX,179.0,37.91082942807091,563.0
TW,119.0,36.10895343373257,390.0
TR,144.0,59.50855814420279,318.0
PH,85.0,34.04191527687853,293.0
TH,107.0,48.83193590643151,275.0
ID,119.0,59.87314105912428,261.0
MY,96.0,54.62564172917997,226.0
DE,18.0,11.703010574000801,162.0
AE,48.0,40.09957679431783,144.0
SG,48.0,47.818762778604274,125.0
FR,37.0,34.95801889502768,124.0
RU,47.0,54.80103654256102,110.0
AR,37.0,42.865382512354785,105.0
BR,40.0,48.90628038750856,102.0
KW,37.0,44.93152187830472,101.0
ES,20.0,22.281271448661542,99.0
CL,43.0,60.77791041459369,93.0
SA,39.0,53.276912334234765,93.0
IN,56.0,103.80932814987403,85.0
PE,19.0,25.393983504975594,84.0
IE,44.0,93.82766246029523,71.0
CH,8.0,14.15439763785824,60.0
NL,25.0,56.55474365273817,57.0
PL,15.0,36.61123546041467,48.0
EG,11.0,42.752925370785796,31.0
LB,13.0,57.50291058536703,29.0
GR,1.0,3.571428571428571,28.0
CZ,9.0,41.2486241193335,26.0
RO,17.0,108.74616018656265,25.0
NZ,0.0,0.0,25.0
PR,23.0,112.64069264069263,24.0
VN,19.0,169.70162577360716,22.0
AU,9.0,45.021645021645014,22.0
DK,15.0,117.94856888897135,21.0
BH,5.0,27.95106639146887,20.0
BE,9.0,60.21487284645179,19.0
SE,13.0,120.21135727018078,18.0
AT,4.0,24.354575163398692,18.0
NO,9.0,71.05842686725038,17.0
QA,6.0,41.418067226890756,17.0
JO,7.0,49.884184443007975,17.0
HU,5.0,42.259407259407254,14.0
OM,6.0,65.32106782106781,12.0
CO,10.0,195.5988455988456,11.0
PT,3.0,30.2020202020202,11.0
CR,8.0,115.16233766233766,11.0
SV,5.0,63.45238095238095,10.0
BS,2.0,21.11111111111111,10.0
CY,1.0,10.0,10.0
MA,4.0,61.07142857142857,8.0
FI,6.0,114.4047619047619,8.0
GT,4.0,95.0,6.0
KZ,4.0,86.66666666666666,6.0
BG,1.0,20.0,5.0
BN,4.0,128.33333333333331,5.0
BO,2.0,58.33333333333333,4.0
AZ,3.0,108.33333333333333,4.0
PA,3.0,108.33333333333333,4.0
KH,2.0,83.33333333333333,3.0
ZA,2.0,83.33333333333333,3.0
AW,0.0,0.0,3.0
CW,1.0,33.33333333333333,3.0
LU,1.0,50.0,2.0
MC,1.0,50.0,2.0
SK,1.0,50.0,2.0
AD,0.0,0.0,1.0
TT,0.0,0.0,1.0
