country_code,SH.H2O.SAFE.ZS,IC.WRH.DURS,IC.BUS.EASE.XQ,IC.REG.DURS,IQ.WEF.CUST.XQ,IC.REG.COST.PC.ZS,name,IT.CEL.SETS.P2,SH.STA.ACSN.UR,SP.URB.TOTL.IN.ZS,ST.INT.ARVL,IQ.WEF.PORT.XQ,BX.KLT.DINV.WD.GD.ZS,IC.IMP.COST.CD,BG.GSR.NFSV.GD.ZS,NE.CON.PETC.ZS,IC.ELC.TIME,IC.BUS.DISC.XQ,NE.CON.PRVT.PC.KD.ZG,IT.NET.USER.P2,NE.CON.PRVT.KD.ZG,IC.EXP.COST.CD,IC.LGL.CRED.XQ,IC.REG.PROC,IC.IMP.DURS,FP.CPI.TOTL.ZG,SP.URB.GROW,IC.TAX.TOTL.CP.ZS,SP.POP.TOTL,TX.VAL.OTHR.ZS.WT,SP.POP.1564.TO.ZS,SL.GDP.PCAP.EM.KD,NY.GNP.PCAP.CD,IC.ISV.DURS,TX.VAL.TECH.CD,Ease.Of.Doing.Business,ST.INT.ARVL.Categorical,SP.POP.TOTL.Categorical,Num.Starbucks.Stores,Num.Starbucks.Stores.Categorical,Starbucks.Store.Density,Starbucks.Store.Density.Categorical,Num.Starbucks.Stores.On.Airports,Exists.In.Multiple.Cities,Ownership.Type.Mixed,continent,MultipleBrands
ZA,93.2,141.0,73.0,46.0,3.94892766652284,0.3,South Africa,159.272837713728,69.6,64.801,9549000.0,4.8698816997033605,0.5035748827707671,2080.0,9.777812992656287,61.1857368402985,226.0,8.0,-0.0611481251470423,51.919115722747,1.5994997099451798,1830.0,5.0,6.0,21.0,4.58827104223609,2.4272604808597498,28.8,54956920.0,19.587092296637106,65.7274089681035,44046.6796875,6050.0,2.0,2488862532.0,Medium,M,H,3,VL,0.00545882120031472,VL,0,True,False,Africa,False
GB,100.0,105.0,6.0,4.5,5.381359964791981,0.1,United Kingdom,125.75084280623699,99.1,82.59200000000001,32613000.0,5.67227357004318,1.77055010073052,1050.0,19.4846814803185,65.0563647674618,79.0,10.0,1.88369573425334,92.0003,2.71164279467533,1005.0,7.0,4.0,6.0,0.0500208420171881,1.10886383851439,32.0,65138232.0,47.24235774176601,64.4654096116544,76160.71875,43340.0,1.0,69340644491.0,VeryHigh,VH,H,897,VH,1.3770714562839226,VH,16,True,True,Europe,False
SV,93.8,108.0,86.0,16.5,3.4816227875257795,42.7,El Salvador,145.255665964623,82.4,66.726,1345000.0,4.01418199790152,2.00577222670921,1035.0,14.986803445657499,90.19504684683292,61.0,3.0,1.41319499769669,26.915075328277002,1.7266313160085902,1045.0,9.0,8.0,10.0,-0.730633669656778,1.01696270928846,38.7,6126583.0,39.1818452266767,64.7995954678162,18404.509765625,3940.0,3.5,183144061.0,Medium,VL,M,10,M,0.1632231212733101,M,0,True,False,North America,False
OM,93.4,157.0,70.0,7.0,4.35348555630651,3.2,Oman,159.860555493156,97.3,77.641,1519000.0,4.85836500710455,1.1698071299004198,700.0,16.2523687791726,30.8256069797907,62.0,8.0,-3.47457917968192,74.174165970433,4.65738274725771,765.0,1.0,5.0,9.0,0.0652901330289737,6.432153628152269,22.9,4490541.0,16.4574143196472,76.89815102456471,85342.6171875,16920.0,4.0,230872191.0,Medium,L,L,12,M,0.2672283807229463,M,0,True,False,Asia,False
FI,100.0,64.0,10.0,14.0,5.944533875975949,1.0,Finland,135.499960443849,99.4,84.221,13053279.411764706,6.3613692037987,8.14183224598091,625.0,21.8094054310431,55.434321011485395,42.0,6.0,1.0595483572841,92.6513,1.43889784894003,615.0,7.0,3.0,7.0,-0.2071643707866,0.535086564267504,37.9,5482013.0,74.5077963423182,63.1844856787288,82024.6328125,46360.0,0.9,3632887080.0,VeryHigh,H,M,8,M,0.14593179549191146,M,2,True,False,Europe,False
RU,96.9,263.5,51.0,10.5,3.59373194852624,1.1,Russian Federation,159.95148592408398,77.0,74.008,32421000.0,3.938319804417581,0.488561556720579,2594.5,10.585044644139801,51.8685328584723,160.5,6.0,-9.728186486075971,73.41,-9.53334440878925,2400.5,6.0,4.4,19.4,15.525328330206401,0.306152069355534,47.0,144096812.0,46.9855601692336,69.88223879171859,46902.87109375,11400.0,2.0,9842669328.0,Medium,VH,VH,110,H,0.07633756671868633,M,4,True,True,Asia,False
CL,99.0,152.0,48.0,5.5,4.89512331198293,0.7,Chile,129.47039013812798,100.0,89.53,3674000.0,4.906070467597202,8.51619263198515,860.0,9.727013825491438,64.36766571804209,30.0,8.0,0.40438824296119,64.289,1.45290379319083,910.0,4.0,7.0,12.0,4.3488672829163,1.23341618347645,28.9,17948141.0,31.566261377143306,68.8500552787055,47811.23828125,14060.0,3.2,531985652.0,Medium,M,M,92,H,0.5125879053435116,H,3,True,False,South America,False
TH,97.8,103.0,49.0,27.5,3.71945414554451,6.4,Thailand,125.810180201863,89.9,50.374,24810000.0,4.490343080990691,1.78664927846014,760.0,28.3319276147695,52.10927554291221,37.0,10.0,0.212103501762911,39.316126736500394,0.62001090660803,595.0,3.0,6.0,13.0,-0.8950214432220921,2.75501737054843,27.5,67959359.0,16.7391873050294,71.8173577829067,23853.189453125,5620.0,2.7,34992376969.0,Medium,VH,VH,275,VH,0.4046536106969461,H,8,True,False,Asia,False
CO,91.4,73.0,54.0,11.0,3.53789480924606,7.5,Colombia,115.744774275413,85.2,76.436,2565000.0,3.6499939203262297,4.08860411568039,2470.0,6.32103458836457,63.5433146573199,102.0,9.0,3.00361088613548,55.9049725142924,3.9461365011605,2355.0,12.0,8.0,13.0,5.00503065682111,1.27130606761885,69.7,48228704.0,16.565435168166303,68.6742214760737,28119.349609375,7130.0,1.7,724222055.0,Medium,M,H,11,M,0.022807994177077618,VL,0,True,False,South America,False
NL,100.0,161.0,28.0,4.0,5.50814908568622,4.6,Netherlands,123.538429708276,97.5,90.496,13925000.0,6.76641877324958,8.96380951647253,975.0,38.9148505346942,44.4456888878409,110.0,4.0,1.08988687395683,93.0965,1.51853416485228,915.0,3.0,4.0,6.0,0.6002481472788149,1.07277458145862,41.0,16936520.0,69.4067520726555,65.2462589355619,85121.4609375,48940.0,1.1,70308349003.0,High,H,M,57,H,0.3365508380706308,M,6,True,True,Europe,False
