country_code,IT.NET.USER.P2,SP.POP.TOTL,IC.REG.PROC,IC.LGL.CRED.XQ,name,SP.URB.TOTL.IN.ZS,NY.GNP.PCAP.CD,IC.WRH.DURS,IC.TAX.TOTL.CP.ZS,IC.ELC.TIME,IC.ISV.DURS,IQ.WEF.PORT.XQ,IQ.WEF.CUST.XQ,BG.GSR.NFSV.GD.ZS,NE.CON.PRVT.PC.KD.ZG,ST.INT.ARVL,IC.BUS.EASE.XQ,NE.CON.PETC.ZS,SH.H2O.SAFE.ZS,SL.GDP.PCAP.EM.KD,IC.REG.DURS,SP.URB.GROW,IC.IMP.DURS,TX.VAL.OTHR.ZS.WT,BX.KLT.DINV.WD.GD.ZS,TX.VAL.TECH.CD,SH.STA.ACSN.UR,SP.POP.1564.TO.ZS,IC.BUS.DISC.XQ,NE.CON.PRVT.KD.ZG,FP.CPI.TOTL.ZG,IC.REG.COST.PC.ZS,IT.CEL.SETS.P2,IC.IMP.COST.CD,IC.EXP.COST.CD,Ease.Of.Doing.Business,ST.INT.ARVL.Categorical,SP.POP.TOTL.Categorical,Num.Starbucks.Stores,Num.Starbucks.Stores.Categorical,Starbucks.Store.Density,Starbucks.Store.Density.Categorical,Num.Starbucks.Stores.On.Airports,Exists.In.Multiple.Cities,Ownership.Type.Mixed,continent,MultipleBrands,KMeans_labels,DBSCAN_labels,Heirarchical_labels
BE,85.0529,11285721.0,3.0,4.0,Belgium,97.858,44360.0,212.0,58.4,88.0,0.9,6.30819797368013,5.0350272947503605,47.73111271988829,0.812296462505202,7887000.0,43.0,51.48959348521149,100.0,98644.171875,4.0,0.525036715433591,8.0,59.897278462808714,-4.56263728668756,43698592018.0,99.5,64.8307418795963,8.0,1.30156477711898,0.5605939804664151,4.8,115.690785217498,1400.0,1240.0,Medium,M,M,19,M,0.1683543302195757,M,3,True,False,Europe,False,1,1,0
TT,69.198470608693,1360088.0,7.0,7.0,Trinidad and Tobago,8.445,18600.0,253.0,32.2,61.0,2.5,3.9988059712994506,3.07904708962287,27.282444194690342,-10.9194196050011,412000.0,88.0,61.216957850267,95.1,61845.41015625,11.5,-0.822835823416937,14.0,34.843722142345264,5.82112363364598,30761610197.38806,91.5,69.808277111481,4.0,-10.5507943412555,4.65817117272294,0.7,157.672735589372,1260.0,843.0,Medium,VL,L,1,VL,0.07352465428707554,L,0,False,False,North America,False,2,-1,1
OM,74.174165970433,4490541.0,5.0,1.0,Oman,77.641,16920.0,157.0,22.9,62.0,4.0,4.85836500710455,4.35348555630651,16.2523687791726,-3.47457917968192,1519000.0,70.0,30.8256069797907,93.4,85342.6171875,7.0,6.432153628152269,9.0,16.4574143196472,1.1698071299004198,230872191.0,97.3,76.89815102456471,8.0,4.65738274725771,0.0652901330289737,3.2,159.860555493156,700.0,765.0,Medium,L,L,12,M,0.2672283807229463,M,0,True,False,Asia,False,4,-1,0
AW,88.66122693249598,103889.0,6.489705882352941,5.573529411764706,Aruba,41.528,25603.030303030304,169.30441176470586,40.33676470588235,78.39117647058823,2.350746268656717,4.633316158977333,4.414026663961564,27.282444194690342,1.5536051901175425,1072000.0,55.64705882352941,56.40002387696422,98.1,65623.96818273207,15.73970588235294,-0.171375678812568,14.383823529411766,13.8213802435726,5.218914292150972,1663353.0,97.7,69.4674123343184,6.608823529411764,2.68041430859638,0.476485008378708,8.280882352941177,135.72177997670602,1283.2205882352941,1184.598529411765,,VL,VL,3,VL,2.8876974463128917,VH,0,True,False,South America,False,4,0,4
LU,97.3341,569676.0,6.0,3.0,Luxembourg,90.16,77000.0,157.0,20.1,56.0,2.0,4.68210018125631,5.58825263734591,286.377541660037,-2.20865303504434,1038000.0,61.0,29.404077716478806,100.0,201747.796875,18.5,2.6925595255396604,7.0,28.4348132395204,42.557943730753706,673934496.0,97.5,69.5849129798452,6.0,0.139278675738353,0.474513795285125,2.0,148.51056858489702,1420.0,1425.0,Medium,VL,VL,2,VL,0.3510767523996096,H,1,True,False,Europe,False,1,-1,0
LB,74.0,5850743.0,6.0,2.0,Lebanon,87.792,7930.0,244.0,30.3,75.0,3.0,3.85543440616492,3.04474746241714,62.3751540714647,3.0361738516818195,1355000.0,123.0,66.6074890081443,99.0,42497.58984375,15.0,4.30348620222381,30.0,31.1393247114975,4.97184276358149,38146559.0,80.7,67.8712942954425,9.0,7.417651606371419,-3.74889199850394,34.0,87.06623207425007,1365.0,1080.0,Low,L,M,29,M,0.4956635422201932,H,0,True,False,Asia,False,3,-1,2
SV,26.915075328277002,6126583.0,8.0,9.0,El Salvador,66.726,3940.0,108.0,38.7,61.0,3.5,4.01418199790152,3.4816227875257795,14.986803445657499,1.41319499769669,1345000.0,86.0,90.19504684683292,93.8,18404.509765625,16.5,1.01696270928846,10.0,39.1818452266767,2.00577222670921,183144061.0,82.4,64.7995954678162,3.0,1.7266313160085902,-0.730633669656778,42.7,145.255665964623,1035.0,1045.0,Medium,VL,M,10,M,0.1632231212733101,M,0,True,False,North America,False,3,-1,2
RO,55.7632,19832389.0,5.0,10.0,Romania,54.56399999999999,9500.0,257.0,42.0,182.0,3.3,3.41962983195342,4.032064312130379,16.595627345861,6.559355146398231,8442000.0,37.0,61.442305574537,100.0,37818.41015625,8.0,-0.0715551440211587,13.0,57.3356533386087,2.1862527755863703,3536097090.0,92.2,67.1654214752418,9.0,6.1494204626225,-0.593318715336016,2.0,107.140204125259,1495.0,1485.0,Medium,M,H,25,M,0.12605642214863777,M,1,True,False,Europe,False,4,-1,4
CR,59.762950137168104,4807850.0,9.0,10.0,Costa Rica,76.821,10210.0,118.0,58.0,45.0,3.0,3.1375910841660697,3.80135560972842,19.7020033494923,2.79690456329718,2527000.0,58.0,65.0889688218775,97.8,30870.919921875,24.0,2.23689115419704,14.0,48.414056982779705,5.88697454356537,30761610197.38806,95.2,68.7902908784592,2.0,3.91461430169515,0.796684980293882,11.1,150.662050596432,1070.0,1020.0,Medium,M,M,11,M,0.22879249560614412,M,0,True,False,North America,False,4,-1,4
AR,69.40092102179,43416755.0,14.0,2.0,Argentina,91.751,12460.0,341.0,137.4,92.0,2.8,3.82892558097839,2.05562960147858,5.45031827580552,3.9686854098955697,5931000.0,121.0,65.6650961274551,99.1,31734.80078125,25.0,1.17133810183968,30.0,48.999475513475296,2.05406979401888,1427075645.0,96.2,63.8792489212978,7.0,5.0251328864601,1.7160460043323633,9.7,143.90779684665,2320.0,1770.0,Low,M,H,105,H,0.24184211832505675,M,0,True,False,South America,False,2,-1,1
ES,78.6896,46418269.0,7.0,5.0,Spain,79.579,28520.0,205.0,50.0,107.0,1.5,5.65258103609085,4.56322118639946,15.2357368774215,3.239957838576,64995000.0,33.0,57.55214162173161,100.0,82548.1171875,14.0,0.147079371797633,9.0,34.289229361501306,1.92756936578596,14240904065.0,99.8,66.3288553181877,5.0,3.1008863923812697,-0.501190518268432,5.2,107.895185390203,1400.0,1310.0,Medium,VH,H,99,H,0.21327809531199882,M,7,True,False,Europe,False,4,-1,0
AU,84.560519347399,23781169.0,3.0,11.0,Australia,89.42299999999999,60070.0,112.0,47.6,75.0,1.0,4.98650344390443,5.16544415724344,7.9867014527888704,1.3151827037711998,6868000.0,13.0,56.875686338814106,100.0,86972.46875,2.5,1.49226714589492,8.0,22.8842645571676,2.7511165565959703,4237456601.0,100.0,66.257035710291,8.0,2.68431006195,1.5083667216591998,0.7,132.800509432285,1220.0,1200.0,High,M,H,22,M,0.09251017054712492,M,0,True,True,Oceania,False,1,1,0
MA,57.08,34377511.0,4.0,2.0,Morocco,60.195,3040.0,91.0,49.1,57.0,3.5,4.777542231764111,4.21691146918706,22.103760224429397,1.91730713354283,10283000.0,75.0,60.2872717402941,85.4,22027.830078125,10.0,2.16363582565592,14.0,35.18852639438521,3.148717277933569,869791832.0,84.1,66.6097001612479,6.0,3.29999999999997,1.5579071134629598,9.1,126.872321632911,970.0,595.0,Medium,H,H,8,M,0.023271027387643042,VL,1,True,False,Africa,False,3,-1,4
CN,50.3,1371220000.0,11.0,4.0,China,55.614,7820.0,244.3,67.8,143.2,1.7,4.54880485442716,4.21926270674083,6.95200426228442,8.581721655511231,55622000.0,84.0,37.4488163147878,95.5,21630.080078125,31.4,2.6968375359099994,24.0,43.9481119774895,2.2993623318512904,558605991980.0,86.6,73.21719297305549,10.0,9.13287760462384,1.4425553838224798,0.7,93.1614208936838,800.0,823.0,Medium,VH,VH,2561,VH,0.18676798763145228,M,8,True,True,Asia,False,0,-1,3
MY,71.06406781119571,30331007.0,3.0,7.0,Malaysia,74.705,10570.0,79.0,40.0,32.0,1.0,5.56585090511341,5.192853077051,25.2114590612639,4.46788166187564,27437000.0,18.0,54.1140898175953,98.2,54169.48046875,4.0,2.3592069050382203,8.0,35.387397982165496,3.7009010020379103,57257697127.0,96.1,69.0905512700149,10.0,5.966703493466411,2.10438980238348,6.7,143.912905658171,560.0,525.0,High,VH,H,226,VH,0.7451120894205722,H,10,True,True,Asia,False,1,-1,0
DE,87.5898,81413145.0,9.0,6.0,Germany,75.301,45790.0,96.0,48.8,28.0,1.2,5.609588206006629,4.70156070455428,16.758742817779602,1.49031669770419,32999000.0,15.0,54.0269341352986,100.0,84050.2421875,10.5,0.8056404775193499,7.0,52.1886349007234,1.37754006358597,184283164631.0,99.3,65.8735239308132,5.0,2.0300172186103502,0.234429944519196,1.8,116.712283291961,1050.0,1015.0,High,VH,VH,162,VH,0.19898506561808907,M,9,True,True,Europe,False,1,-1,0
