ST.INT.ARVL,TX.VAL.TECH.CD,SP.POP.TOTL,name,Num.Starbucks.Stores.Predicted
1160911965.78946,2147395803513.0,7346633037.0,World,35328287.702966966
644146879.299469,925394626445.0,1282975040.0,OECD members,5359576.756022352
624744367.519835,831597354798.0,1097737383.0,Post-demographic dividend,4313907.867601578
713644842.823344,1324993371551.0,1187189841.0,High income,4097597.444575402
588069789.506157,768897407341.0,907944124.0,Europe & Central Asia,3039177.2606297527
457949757.016914,548874905040.0,509668361.0,European Union,886782.8331364753
343226493.36235,404599533669.0,339425073.0,Euro area,294142.5596694706
278372245.220756,763520610614.0,2249154750.0,Late-demographic dividend,132628.9443037143
155253102.206789,38145058001.0,453562136.0,Europe & Central Asia (IDA & IBRD countries),63932.46990590187
127400184.569593,22926480478.0,411338238.0,Europe & Central Asia (excluding high income),31580.094986243705
91772000.0,180623744622.0,357335829.0,North America,24017.20041242891
82238368.7242317,62611725479.0,103318638.0,Central Europe and the Baltics,5567.180981400886
88633212.6550586,14354020892.0,424065257.0,Middle East & North Africa,5115.0664174841595
48576000.0,26955337473.0,60802085.0,Italy,929.9817234797723
770000.0,11843145.0,99390750.0,Ethiopia,294.33131770903015
1113000.0,22713535.0,53470420.0,Tanzania,91.2825757394045
11623000.0,760238175.0,4224404.0,Croatia,67.79940110506925
12712000.0,1921996739.0,45198200.0,Ukraine,67.44522035052762
14566000.0,38253.0,587606.0,"Macao SAR, China",65.60463153324474
2301000.0,3308543.0,39666519.0,Algeria,51.12084109692387
1266000.0,10556376.0,39032383.0,Uganda,49.75991626422382
5516000.0,34733393.0,3679000.0,Georgia,31.404403571534715
5141000.0,193265639.0,10528391.0,Dominican Republic,30.372012050397124
1661000.0,31240449.0,27977863.0,Mozambique,26.320465304821347
790000.0,2792696.0,28513700.0,Nepal,23.83444842238616
2927000.0,10241482000.0,8380400.0,Israel,14.603035337685625
1527000.0,59295119.0,20966000.0,Sri Lanka,13.124247137315052
222000.0,3961124.0,24235390.0,Madagascar,11.40102932122305
3341000.0,15123662.0,2889167.0,Albania,10.386498700539022
471000.0,72379188.0,22701556.0,Cote d'Ivoire,9.474238069326958
1905000.0,10072513.0,15602751.0,Zimbabwe,8.011694880553506
1557000.0,97006477.0,16144363.0,Ecuador,5.854131282064401
2918000.0,1040763519.0,1311998.0,Estonia,5.269278805451513
2682000.0,171097517.0,3431555.0,Uruguay,3.636299718857103
135000.0,69108666.0,19899120.0,Niger,1.2846469488778993
947000.0,19026361.0,16211767.0,Zambia,0.8895986249135817
2411000.0,1432654148.0,2063768.0,Slovenia,-0.16324470009232783
836000.0,30241847.0,15129273.0,Senegal,-1.8573022757429172
191000.0,13333668.0,18105570.0,Burkina Faso,-1.9003181328868095
2080000.0,3341254.0,2725941.0,Jamaica,-3.7127354374946293
2063000.0,1773594152.0,2910199.0,Lithuania,-3.715834297518665
926000.0,6554503.0,11609666.0,Rwanda,-6.441642957474851
1843000.0,961867110.0,1978440.0,Latvia,-7.156430242544534
1330000.0,8198780.0,6082032.0,Nicaragua,-9.196775893916836
1690000.0,849241705.0,431333.0,Malta,-10.288562009306688
868000.0,41817226.0,8075060.0,Honduras,-11.973491094671353
33000.0,3445207.0,12608590.0,Guinea,-13.73935090759565
1204000.0,11067794.0,3017712.0,Armenia,-13.916799739676065
1350000.0,6492297.0,622388.0,Montenegro,-14.338338481744678
242000.0,3909428.0,10879829.0,Benin,-14.563195504000756
649000.0,47679184.0,6639123.0,Paraguay,-16.356457849110647
1039000.0,673785.0,1262605.0,Mauritius,-17.72518887213473
137000.0,559911400.0,9513000.0,Belarus,-18.318764073863225
998000.0,110268369.0,330823.0,Iceland,-19.190839504383895
282000.0,1192704.0,7304578.0,Togo,-19.67162890212206
556000.0,1101491.0,4422143.0,West Bank and Gaza,-20.29637020217522
536000.0,96042566.0,3810416.0,Bosnia and Herzegovina,-21.35185441984555
373000.0,47798389.0,4620330.0,"Congo, Rep.",-22.331695233918733
693000.0,3246115.0,892145.0,Fiji,-22.610234374586398
44000.0,7244.0,6453184.0,Sierra Leone,-23.74997216553083
393000.0,33611478.0,2959134.0,Mongolia,-24.182643220974498
425000.0,110003537.0,2078453.0,"Macedonia, FYR",-24.869258540901974
521000.0,26483703.0,284215.0,Barbados,-25.567941295639006
494000.0,0.0,520502.0,Cabo Verde,-25.663911957555158
338000.0,1728467.0,184999.0,St. Lucia,-28.155966959775686
321000.0,0.0,359287.0,Belize,-28.191461564474633
11000.0,17928258.0,3554150.0,Moldova,-28.33725196465744
156000.0,0.0,1990924.0,"Gambia, The",-28.471675740957867
252000.0,10156828.0,542975.0,Suriname,-28.929901229753987
206000.0,105393.0,767085.0,Guyana,-29.289749212256673
249000.0,0.0,91818.0,Antigua and Barbuda,-29.484158374292914
224000.0,1013119.0,65235.0,Bermuda,-29.860491976564504
181000.0,19732265.0,282764.0,French Polynesia,-30.21394022081422
141000.0,1102773.0,21291.0,Palau,-31.062493766915406
120000.0,365039.0,193228.0,Samoa,-31.1518755900681
107000.0,136661132.0,273000.0,New Caledonia,-31.320670772626688
20100.0,0.0,583591.0,Solomon Islands,-32.06591963044649
50000.0,24663.0,106170.0,Tonga,-32.229430780740024
27770000.0,425888102.0,7305700.0,"Hong Kong SAR, China",-54.36111440135025
18260654.798632506,31508904857.0,585760189.0,IDA blend,-8768.126475703439
76910000.0,61620642823.0,616862604.0,Latin America & the Caribbean (IDA & IBRD countries),-12949.657108622458
72750000.0,60790702226.0,605364992.0,Latin America & Caribbean (excluding high income),-13466.245811786896
313328339.633529,740967794192.0,2593742810.0,Upper middle income,-196933.93240941866
413949579.653131,806527527105.0,4542580688.0,IBRD only,-7385790.6801278265
