county_FIPS_code,name,count
49035,"Salt Lake, UT",50
12069,"Lake, FL",7
19033,"Cerro Gordo, IA",3
36059,"Nassau, NY",53
08043,"Fremont, CO",1
08047,"Gilpin, CO",1
12111,"St. Lucie, FL",2
51770,"Roanoke, VA",5
31185,"York, NE",1
29145,"Newton, MO",1
48143,"Erath, TX",1
04012,"La Paz, AZ",1
34037,"Sussex, NJ",2
26005,"Allegan, MI",1
29147,"Nodaway, MO",2
51510,"Alexandria, VA",16
51121,"Montgomery, VA",6
29031,"Cape Girardeau, MO",3
27123,"Ramsey, MN",19
51069,"Frederick, VA",2
27027,"Clay, MN",2
06027,"Inyo, CA",2
42109,"Snyder, PA",3
47155,"Sevier, TN",5
17091,"Kankakee, IL",3
21067,"Fayette, KY",21
37155,"Robeson, NC",2
25015,"Hampshire, MA",4
05005,"Baxter, AR",1
06107,"Tulare, CA",18
06087,"Santa Cruz, CA",17
42079,"Luzerne, PA",2
25005,"Bristol, MA",11
39109,"Miami, OH",1
22073,"Ouachita, LA",2
32510,"Carson City, NV",5
30001,"Beaverhead, MT",1
48005,"Angelina, TX",1
05045,"Faulkner, AR",4
39085,"Lake, OH",6
24013,"Carroll, MD",8
48221,"Hood, TX",3
28047,"Harrison, MS",7
39011,"Auglaize, OH",1
04011,"Greenlee, AZ",1
37191,"Wayne, NC",3
51095,"James City, VA",6
17143,"Peoria, IL",9
37183,"Wake, NC",64
06037,"Los Angeles, CA",665
55087,"Outagamie, WI",5
40071,"Kay, OK",1
48183,"Gregg, TX",3
55009,"Brown, WI",6
56005,"Campbell, WY",2
36019,"Clinton, NY",2
08001,"Adams, CO",32
23001,"Androscoggin, ME",1
16005,"Bannock, ID",4
51840,"Winchester, VA",2
40147,"Washington, OK",2
05115,"Pope, AR",1
45035,"Dorchester, SC",2
06023,"Humboldt, CA",6
39043,"Erie, OH",3
06053,"Monterey, CA",32
02150,"Kodiak Island, AK",1
37031,"Carteret, NC",1
48201,"Harris, TX",219
20037,"Crawford, KS",1
56001,"Albany, WY",3
41019,"Douglas, OR",3
21015,"Boone, KY",11
37081,"Guilford, NC",23
26081,"Kent, MI",38
23023,"Sagadahoc, ME",2
51800,"Suffolk, VA",3
55117,"Sheboygan, WI",3
24005,"Baltimore, MD",30
39133,"Portage, OH",6
47031,"Coffee, TN",1
37189,"Watauga, NC",1
54039,"Kanawha, WV",5
48277,"Lamar, TX",1
29189,"St. Louis, MO",53
21117,"Kenton, KY",4
37147,"Pitt, NC",9
01001,"Autauga, AL",1
23005,"Cumberland, ME",15
51830,"Williamsburg, VA",2
42011,"Berks, PA",5
54081,"Raleigh, WV",2
09009,"New Haven, CT",23
44001,"Bristol, RI",1
26087,"Lapeer, MI",1
51061,"Fauquier, VA",4
24033,"Prince George's, MD",35
36111,"Ulster, NY",6
27037,"Dakota, MN",19
47065,"Hamilton, TN",9
01069,"Houston, AL",1
41071,"Yamhill, OR",5
29510,"St. Louis, MO",13
39003,"Allen, OH",1
29183,"St. Charles, MO",10
48217,"Hill, TX",1
41041,"Lincoln, OR",4
42057,"Fulton, PA",1
15007,"Kauai, HI",5
36069,"Ontario, NY",4
55089,"Ozaukee, WI",4
13313,"Whitfield, GA",2
51197,"Wythe, VA",1
36047,"Kings, NY",36
53025,"Grant, WA",4
51183,"Sussex, VA",1
39063,"Hancock, OH",1
41007,"Clatsop, OR",4
51187,"Warren, VA",2
27145,"Stearns, MN",2
12073,"Leon, FL",14
06033,"Lake, CA",1
13103,"Effingham, GA",1
16017,"Bonner, ID",3
17179,"Tazewell, IL",3
40047,"Garfield, OK",1
49051,"Wasatch, UT",1
29051,"Cole, MO",2
29047,"Clay, MO",9
48041,"Brazos, TX",12
18095,"Madison, IN",2
36093,"Schenectady, NY",5
11001,"District of Columbia, DC",88
33001,"Belknap, NH",1
44007,"Providence, RI",15
21073,"Franklin, KY",3
24017,"Charles, MD",8
55039,"Fond du Lac, WI",2
13291,"Union, GA",1
35029,"Luna, NM",1
36001,"Albany, NY",20
47063,"Hamblen, TN",1
13045,"Carroll, GA",2
22051,"Jefferson, LA",12
24009,"Calvert, MD",5
39171,"Williams, OH",2
16069,"Nez Perce, ID",1
54061,"Monongalia, WV",4
20059,"Franklin, KS",1
21049,"Clark, KY",1
22071,"Orleans, LA",13
51107,"Loudoun, VA",31
48139,"Ellis, TX",4
21113,"Jessamine, KY",1
10001,"Kent, DE",2
27009,"Benton, MN",1
33011,"Hillsborough, NH",11
42095,"Northampton, PA",4
